Nome: Neymar, Nacionalidade: Brasil, Clube: Santos, Posicao: ATACANTE, Ritmo: 91, Chute: 85, Passe: 87, Drible: 95, Defesa: 32, Fisico: 58, Historia: Cria da Vila  
Nome: Messi, Nacionalidade: Argentina, Clube: Barcelona, Posicao: ATACANTE, Ritmo: 93, Chute: 90, Passe: 88, Drible: 97, Defesa: 45, Fisico: 67, Historia: O ET 
Nome: Cristiano Ronaldo, Nacionalidade: Portugal, Clube: Real Madrid, Posicao: ATACANTE, Ritmo: 94, Chute: 92, Passe: 81, Drible: 91, Defesa: 46, Fisico: 80, Historia: O MILIOR DO MUNDO 
Nome: Professor Muriel, Nacionalidade: Brasil, Clube: UTFPR, Posicao: MEIA, Ritmo: 99, Chute: 99, Passe: 99, Drible: 99, Defesa: 99, Fisico: 98, Historia: Hello World 
Nome: Kmeth, Nacionalidade: Brasil, Clube: VScode, Posicao: MEIA, Ritmo: 80, Chute: 99, Passe: 99, Drible: 99, Defesa: 99, Fisico: 70, Historia: so quer passar na materia desse projeto 
Nome: Gabriel , Nacionalidade: Brasil, Clube: Proejeto, Posicao: ZAGUEIRO, Ritmo: 80, Chute: 99, Passe: 98, Drible: 98, Defesa: 99, Fisico: 99, Historia: Ja entrou em uma competicao de danca com um mendigo 
Nome: Marquinhos, Nacionalidade: Brasil,Clube: PSG, Posicao: ZAGUEIRO, Ritmo: 79, Chute: 56  , Passe: 75, Drible: 74, Defesa: 89, Fisico: 81, Historia:
Nome: Robert Lewandowski, Nacionalidade: Polonia,Clube: Barcelona, Posicao: ATACANTE, Ritmo: 75, Chute: 88, Passe: 79, Drible: 86, Defesa: 44 , Fisico: 84, Historia: Ja marcou 5 gols em 9 minutos
Nome: Kevin De Bruyne, Nacionalidade: Belgica,Clube: Manchester City, Posicao: MEIA, Ritmo: 67 , Chute: 87, Passe: 94, Drible: 87, Defesa: 65, Fisico: 78, Historia: A esposa trocou ele pelo companheiro de selecao
Nome: Luka Modric, Nacionalidade: Croacia,Clube: Real Madrid, Posicao: MEIA, Ritmo: 72, Chute: 76, Passe: 88  , Drible: 87, Defesa: 71 , Fisico: 64, Historia: Narigudo e bom de bola
Nome: Jude Bellingham, Nacionalidade: Inglaterra,Clube: Real Madrid, Posicao: MEIA, Ritmo: 80, Chute: 87, Passe: 83, Drible: 88, Defesa: 78, Fisico: 83, Historia: e o bellingooool
